ChEMBL ID,Name,Max Phase,Molecular Formula,Molecular Weight,SMILES
CHEMBL26,N/A,4.0,C15H23N3O4S,N/A,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
CHEMBL423,N/A,4.0,C18H29NO3,N/A,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
CHEMBL424,N/A,4.0,C7H6O3,N/A,O=C(O)c1ccccc1O
CHEMBL425,N/A,4.0,C14H10N2O6,N/A,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
CHEMBL27,N/A,4.0,C16H21NO2,N/A,CC(C)NCC(O)COc1cccc2ccccc12
CHEMBL6995,N/A,4.0,C14H22N2O3,N/A,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
CHEMBL427,N/A,4.0,C5H11Cl2N,N/A,CN(CCCl)CCCl
CHEMBL29,N/A,4.0,C16H18N2O4S,N/A,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
CHEMBL428,N/A,4.0,C20H15F3N4O3,N/A,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
CHEMBL30,N/A,4.0,C10H16N6S,N/A,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
CHEMBL31,N/A,4.0,C19H22FN3O4,N/A,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
CHEMBL429,N/A,4.0,C19H24N2O3,N/A,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
CHEMBL32,N/A,4.0,C21H24FN3O4,N/A,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
CHEMBL33,N/A,4.0,C18H20FN3O4,N/A,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
CHEMBL430,N/A,4.0,C18H20FN5O4,N/A,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN
CHEMBL431,N/A,4.0,C22H30N2O5S2,N/A,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2
CHEMBL433,N/A,4.0,C8H15NaO2,N/A,CCCC(CCC)C(=O)[O-].[Na+]
CHEMBL434,N/A,4.0,C11H17NO3,N/A,CC(C)NCC(O)c1ccc(O)c(O)c1
CHEMBL435,N/A,4.0,C7H8ClN3O4S2,N/A,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
CHEMBL35,N/A,4.0,C12H11ClN2O5S,N/A,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
CHEMBL36,N/A,4.0,C12H13ClN4,N/A,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
CHEMBL436,N/A,4.0,C16H14F3NO3S,N/A,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
CHEMBL437,N/A,4.0,C9H9N3O2S2,N/A,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
CHEMBL438,N/A,4.0,C11H12N4O2S,N/A,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
CHEMBL439,N/A,4.0,C10H10N4O2S,N/A,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
CHEMBL440,N/A,4.0,C12H18N2O2S,N/A,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
CHEMBL441,N/A,4.0,C11H18N2O2S,N/A,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
CHEMBL268164,N/A,4.0,C12H16N2O3,N/A,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
CHEMBL442,N/A,4.0,C33H35N5O5,N/A,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
CHEMBL38,N/A,4.0,C20H28O2,N/A,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
CHEMBL7413,N/A,4.0,C14H18N2O3,N/A,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
CHEMBL40,N/A,4.0,C12H12N2O3,N/A,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
CHEMBL41,N/A,4.0,C17H18F3NO,N/A,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
CHEMBL443,N/A,4.0,C10H11N3O3S,N/A,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
CHEMBL444,N/A,4.0,C8H12N2O3,N/A,CCC1(CC)C(=O)NC(=O)NC1=O
CHEMBL42,N/A,4.0,C18H19ClN4,N/A,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
CHEMBL445,N/A,4.0,C19H21N,N/A,CNCCC=C1c2ccccc2CCc2ccccc21
CHEMBL446,N/A,4.0,C12H14N4O2S,N/A,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
CHEMBL447,N/A,4.0,C12H18N2O3,N/A,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
CHEMBL448,N/A,4.0,C11H18N2O3,N/A,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
CHEMBL267894,N/A,4.0,C11H18N2O3,N/A,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
CHEMBL449,N/A,4.0,C10H16N2O3,N/A,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
CHEMBL450,N/A,4.0,C9H14N2O3,N/A,CCC1(CC)C(=O)NC(=O)N(C)C1=O
CHEMBL451,N/A,4.0,C16H14ClN3O,N/A,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
CHEMBL452,N/A,4.0,C15H10ClN3O3,N/A,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
CHEMBL453,N/A,4.0,C11H13N3O3S,N/A,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
CHEMBL268869,N/A,4.0,C11H12N4O3S,N/A,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
CHEMBL454,N/A,4.0,C11H16N2O3,N/A,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
CHEMBL455,N/A,4.0,C8H10N2O3S,N/A,CC(=O)NS(=O)(=O)c1ccc(N)cc1
CHEMBL43,N/A,4.0,C21H19N3O3S,N/A,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
CHEMBL456,N/A,4.0,C13H12Cl2O4,N/A,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
CHEMBL267744,N/A,4.0,C13H8Cl2O4S,N/A,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
CHEMBL457,N/A,4.0,C15H22O3,N/A,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
CHEMBL45,N/A,4.0,C13H16N2O2,N/A,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
CHEMBL8085,N/A,4.0,C6H14N2O2,N/A,NCCCC[C@H](N)C(=O)O
CHEMBL46,N/A,4.0,C18H19N3O,N/A,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
CHEMBL49,N/A,4.0,C21H31N5O2,N/A,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
CHEMBL51,N/A,4.0,C22H22FN3O3,N/A,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
CHEMBL459,N/A,4.0,C10H13NO4,N/A,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL460,N/A,4.0,C16H24N2O2,N/A,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
